layer,scope,stratum,n_traces,n_pos,n_neg,n_points,accuracy,null_mean,null_p95,p_perm,baseline_acc,baseline_null_p95,baseline_p,n_perm,n_repeat
31,tercile_resid_group,1,,,,,0.49027777777777776,,,,0.5916666666666668,,,1000,20
31,tercile_resid_group,2,,,,,0.6866666666666668,,,,0.8216666666666667,,,1000,20
32,full,all,109,79,30,203,0.6777777777777777,0.49946593363854597,0.5836691963663384,0.000999000999000999,,,,1000,20
32,tercile_resid,all,109,79,30,203,0.6464814814814815,0.5005913025188177,0.58971875767851,0.007992007992007992,0.6391666666666667,,,1000,20
32,tercile_resid_group,0,,,,,0.7805555555555556,,,,0.5041666666666665,,,1000,20
32,tercile_resid_group,1,,,,,0.4847222222222222,,,,0.5916666666666668,,,1000,20
32,tercile_resid_group,2,,,,,0.6741666666666668,,,,0.8216666666666667,,,1000,20
33,full,all,109,79,30,203,0.6819444444444444,0.499697059808006,0.5835671045540611,0.000999000999000999,,,,1000,20
33,tercile_resid,all,109,79,30,203,0.6401851851851853,0.5005864679542844,0.5932047441702477,0.01098901098901099,0.6391666666666667,,,1000,20
33,tercile_resid_group,0,,,,,0.7833333333333334,,,,0.5041666666666665,,,1000,20
33,tercile_resid_group,1,,,,,0.47638888888888886,,,,0.5916666666666668,,,1000,20
33,tercile_resid_group,2,,,,,0.6608333333333334,,,,0.8216666666666667,,,1000,20
34,full,all,109,79,30,203,0.6753472222222221,0.4995739965185284,0.5816121896018636,0.000999000999000999,,,,1000,20
34,tercile_resid,all,109,79,30,203,0.6364814814814815,0.5003667669463259,0.5902838674049865,0.011988011988011988,0.6391666666666667,,,1000,20
34,tercile_resid_group,0,,,,,0.7805555555555557,,,,0.5041666666666665,,,1000,20
34,tercile_resid_group,1,,,,,0.47638888888888886,,,,0.5916666666666668,,,1000,20
34,tercile_resid_group,2,,,,,0.6525000000000001,,,,0.8216666666666667,,,1000,20
35,full,all,109,79,30,203,0.6670138888888888,0.4993166319581966,0.5832885229903725,0.000999000999000999,,,,1000,20
35,tercile_resid,all,109,79,30,203,0.6389814814814815,0.4996725723939518,0.5928181951793062,0.00999000999000999,0.6391666666666667,,,1000,20
35,tercile_resid_group,0,,,,,0.7861111111111111,,,,0.5041666666666665,,,1000,20
35,tercile_resid_group,1,,,,,0.4875,,,,0.5916666666666668,,,1000,20
35,tercile_resid_group,2,,,,,0.6433333333333333,,,,0.8216666666666667,,,1000,20
36,full,all,109,79,30,203,0.6548611111111111,0.4988712482839042,0.5845135426561338,0.001998001998001998,,,,1000,20
36,tercile_resid,all,109,79,30,203,0.6419444444444444,0.4994252169000816,0.5923370782279773,0.008991008991008992,0.6391666666666667,,,1000,20
36,tercile_resid_group,0,,,,,0.7861111111111112,,,,0.5041666666666665,,,1000,20
36,tercile_resid_group,1,,,,,0.4888888888888888,,,,0.5916666666666668,,,1000,20
36,tercile_resid_group,2,,,,,0.6508333333333333,,,,0.8216666666666667,,,1000,20
37,full,all,109,79,30,203,0.6597222222222221,0.49990179705291127,0.5861181069248576,0.000999000999000999,,,,1000,20
37,tercile_resid,all,109,79,30,203,0.6256481481481481,0.5001652198957505,0.5935450866750209,0.014985014985014986,0.6391666666666667,,,1000,20
37,tercile_resid_group,0,,,,,0.7513888888888889,,,,0.5041666666666665,,,1000,20
37,tercile_resid_group,1,,,,,0.4888888888888888,,,,0.5916666666666668,,,1000,20
37,tercile_resid_group,2,,,,,0.6366666666666667,,,,0.8216666666666667,,,1000,20
38,full,all,109,79,30,203,0.659375,0.500121898604566,0.5845611703080731,0.000999000999000999,,,,1000,20
38,tercile_resid,all,109,79,30,203,0.5935185185185184,0.4996894622690163,0.5930694444444443,0.04995004995004995,0.6391666666666667,,,1000,20
38,tercile_resid_group,0,,,,,0.6861111111111111,,,,0.5041666666666665,,,1000,20
